Модель,"Объём памяти, Гб","Диагональ экрана, дюйм",Цвет,Число ядер,"RAM, Гб",SIM,Разрешение экрана,"Основная камера, Мп","Емкость аккумулятора, мА*ч","Цена, руб.","Цена (без скидки), руб."
14 Plus,128,6.7,голубой,"6x(1.8 ГГц, 3.2 ГГц)",,2,2778x1284,12+12,,83 499,90 799
14 Plus,128,6.7,красный,"6x(1.8 ГГц, 3.2 ГГц)",,,2778x1284,12+12,,83 499,90 799
14 Plus,128,6.7,фиолетовый,"6x(1.8 ГГц, 3.2 ГГц)",,2,2778x1284,12+12,,83 499,90 799
14 Plus,128,6.7,фиолетовый,"6x(1.8 ГГц, 3.2 ГГц)",,,2778x1284,12+12,,83 499,90 799
14 Plus,128,6.7,черный,"6x(1.8 ГГц, 3.2 ГГц)",,,2778x1284,12+12,,83 499,90 799
"12 Pro Max ""Как новый""",512,6.7,золотистый,6x(2.99 ГГц),6,1,2778x1284,12+12+12,3687,84 599,91 999
"12 Pro Max ""Как новый""",512,6.7,золотистый,6x(2.99 ГГц),6,1,2778x1284,12+12+12,3687,84 599,91 999
14 Plus,128,6.7,желтый,"6x(1.8 ГГц, 3.2 ГГц)",,2,2778x1284,12+12,,85 799,90 799
14,256,6.1,желтый,"6x(1.8 ГГц, 3.2 ГГц)",,2,2532x1170,12+12,,86 799,94 299
14,256,6.1,белый,"6x(1.8 ГГц, 3.2 ГГц)",,1,2532x1170,12+12,,89 499,97 299
14,256,6.1,белый,"6x(1.8 ГГц, 3.2 ГГц)",,,2532x1170,12+12,,89 499,97 299
14,256,6.1,белый,"6x(1.8 ГГц, 3.2 ГГц)",,2,2532x1170,12+12,,89 499,97 299
14,256,6.1,голубой,"6x(1.8 ГГц, 3.2 ГГц)",,1,2532x1170,12+12,,89 499,97 299
14,256,6.1,голубой,"6x(1.8 ГГц, 3.2 ГГц)",,2,2532x1170,12+12,,89 499,97 299
14,256,6.1,голубой,"6x(1.8 ГГц, 3.2 ГГц)",,,2532x1170,12+12,,89 499,97 299
14,256,6.1,красный,"6x(1.8 ГГц, 3.2 ГГц)",,,2532x1170,12+12,,89 499,97 299
14,256,6.1,фиолетовый,"6x(1.8 ГГц, 3.2 ГГц)",,2,2532x1170,12+12,,89 499,97 299
14,256,6.1,черный,"6x(1.8 ГГц, 3.2 ГГц)",,2,2532x1170,12+12,,89 499,97 299
14 Plus,256,6.7,белый,"6x(1.8 ГГц, 3.2 ГГц)",,2,2778x1284,12+12,,89 699,97 499
14 Plus,256,6.7,белый,"6x(1.8 ГГц, 3.2 ГГц)",,,2778x1284,12+12,,89 699,97 499
14 Plus,256,6.7,голубой,"6x(1.8 ГГц, 3.2 ГГц)",,,2778x1284,12+12,,89 699,97 499
14 Plus,256,6.7,голубой,"6x(1.8 ГГц, 3.2 ГГц)",,2,2778x1284,12+12,,89 699,97 499
14 Plus,256,6.7,красный,"6x(1.8 ГГц, 3.2 ГГц)",,,2778x1284,12+12,,89 699,97 499
14 Plus,256,6.7,фиолетовый,"6x(1.8 ГГц, 3.2 ГГц)",,2,2778x1284,12+12,,89 699,97 499
14 Plus,256,6.7,черный,"6x(1.8 ГГц, 3.2 ГГц)",,2,2778x1284,12+12,,89 699,97 499
14 Plus,256,6.7,черный,"6x(1.8 ГГц, 3.2 ГГц)",,,2778x1284,12+12,,89 699,97 499
14,256,6.1,желтый,"6x(1.8 ГГц, 3.2 ГГц)",,,2532x1170,12+12,,89 999,97 299
14 Plus,128,6.7,желтый,"6x(1.8 ГГц, 3.2 ГГц)",,1,2778x1284,12+12,,91 799,
14 Plus,256,6.7,желтый,"6x(1.8 ГГц, 3.2 ГГц)",,2,2778x1284,12+12,,93 799,97 499
14 Plus,256,6.7,желтый,"6x(1.8 ГГц, 3.2 ГГц)",,1,2778x1284,12+12,,93 799,97 499
14,512,6.1,белый,"6x(1.8 ГГц, 3.2 ГГц)",,2,2532x1170,12+12,,101 199,109 999
14,512,6.1,голубой,"6x(1.8 ГГц, 3.2 ГГц)",,,2532x1170,12+12,,101 199,109 999
14,512,6.1,красный,"6x(1.8 ГГц, 3.2 ГГц)",,2,2532x1170,12+12,,101 199,109 999
14,512,6.1,фиолетовый,"6x(1.8 ГГц, 3.2 ГГц)",,,2532x1170,12+12,,101 199,109 999
14 Pro,128,6.1,золотистый,6,,,2556x1179,48+12+12,,104 399,113 499
14 Pro,128,6.1,серебристый,6,,,2556x1179,48+12+12,,104 399,113 499
